(u'Gave', 0.23782177939148674)
(u'Mimosas', 0.237266808190574)
(u'resturant', 0.23725757879865128)
(u'Mgr', 0.2371664447313897)
(u'Dominos', 0.23691222210497287)
(u'Canes', 0.23685994577226488)
(u'communicative', 0.2367747777783471)
(u'Ashley', 0.23656218223315406)
(u'Brittany', 0.23644697014049143)
(u'friendly', 0.23620787179226355)
(u'subs', 0.2361152481042197)
(u'Buffett', 0.23606405765975857)
(u'Ask', 0.23606252318109355)
(u'Efficient', 0.23602236101302765)
(u'frappe', 0.23597449369115786)
(u'Jacob', 0.2357845043150757)
(u'Ingredients', 0.2354205355893466)
(u'Ivan', 0.23472819610449136)
(u'Chill', 0.23433227409595325)
(u'Service', 0.2341943469256238)
(u'Delightful', 0.23400782700502099)
(u'Offered', 0.2337869986598129)
(u'tho', 0.2336898614001086)
(u'Showed', 0.23338630891317003)
(u'Everytime', 0.23330510543781813)
(u'Gabriel', 0.23293735334209487)
(u'responsive', 0.23253874163572164)
(u'throughly', 0.23225110789212877)
(u'Wasn', 0.23220951360366193)
(u'Explained', 0.23216209180308844)
(u'Tasty', 0.23201460659366546)
(u'Glad', 0.23182632492598998)
(u'Didnt', 0.2317596503193542)
(u'Came', 0.23169485276315172)
(u'portions', 0.23168067933313274)
(u'Juan', 0.2315786354426912)
(u'CJ', 0.23118156718544824)
(u'Nina', 0.2311566297161498)
(u'Superb', 0.23109450873178616)
(u'tacos', 0.23109264749862568)
(u'barber', 0.23100078067922603)
(u'Wouldn', 0.2304657348674688)
(u'dope', 0.23040473146607354)
(u'kindest', 0.23039180525106495)
(u'ny', 0.23035488917649793)
(u'Convenient', 0.230078130140436)
(u'goto', 0.22994606936226347)
(u'Crowded', 0.2297580342927752)
(u'dependable', 0.2294020384094786)
(u'exceeded', 0.22923520278176213)
(u'fantastic', 0.22886023718646165)
(u'helpful', 0.22880861293707344)
(u'Mc', 0.22878650742463869)
(u'nachos', 0.22858501688541288)
(u'Wanted', 0.2285255529024397)
(u'Bojangles', 0.22849318777745253)
(u'Quiet', 0.22844893396084665)
(u'accommodated', 0.22822169520968139)
(u'EXCELLENT', 0.22802937206405183)
(u'potatoe', 0.22779303586975175)
(u'Courtney', 0.22753373122298193)
